municipality,eur_m2,period,source
Alegría-Dulantzi,6.75,2024,SERPAVI
Amurrio,6.34,2024,SERPAVI
Aramaio,5.2,2024,SERPAVI
Artziniega,6.53,2024,SERPAVI
Asparrena,5.26,2024,SERPAVI
Ayala/Aiara,4.92,2024,SERPAVI
Campezo/Kanpezu,4.54,2024,SERPAVI
Labastida/Bastida,5.79,2024,SERPAVI
Laguardia,6.13,2024,SERPAVI
Lapuebla de Labarca,4.64,2024,SERPAVI
Laudio/Llodio,7.42,2024,SERPAVI
Okondo,5.53,2024,SERPAVI
Oyón-Oion,5.22,2024,SERPAVI
Erriberagoitia/Ribera Alta,4.61,2024,SERPAVI
Ribera Baja/Erriberabeitia,6.87,2024,SERPAVI
Agurain/Salvatierra,5.97,2024,SERPAVI
Urkabustaiz,5.32,2024,SERPAVI
Legutio,6.3,2024,SERPAVI
Vitoria-Gasteiz,9.21,2024,SERPAVI
Zuia,6.21,2024,SERPAVI
Iruña Oka/Iruña de Oca,5.61,2024,SERPAVI
Albacete,5.98,2024,SERPAVI
Alcalá del Júcar,4.68,2024,SERPAVI
Alcaraz,3.54,2024,SERPAVI
Almansa,4.21,2024,SERPAVI
Alpera,2.6,2024,SERPAVI
Balazote,3.49,2024,SERPAVI
Barrax,2.15,2024,SERPAVI
Bonete,3.1,2022,SERPAVI
"Bonillo, El",1.91,2024,SERPAVI
Casas de Juan Núñez,2.36,2024,SERPAVI
Casas-Ibáñez,3.5,2024,SERPAVI
Caudete,3.02,2024,SERPAVI
Cenizate,2.12,2024,SERPAVI
Chinchilla de Monte-Aragón,5.22,2024,SERPAVI
Elche de la Sierra,2.64,2024,SERPAVI
Fuente-Álamo,1.73,2024,SERPAVI
Fuentealbilla,2.82,2024,SERPAVI
"Gineta, La",3.56,2024,SERPAVI
Hellín,3.54,2024,SERPAVI
Higueruela,1.91,2024,SERPAVI
Madrigueras,3.07,2024,SERPAVI
Mahora,2.87,2024,SERPAVI
Minaya,2.28,2024,SERPAVI
Montealegre del Castillo,2.91,2024,SERPAVI
Motilleja,3.31,2022,SERPAVI
Munera,2.51,2024,SERPAVI
Ontur,3.08,2024,SERPAVI
Pozohondo,2.68,2024,SERPAVI
Riópar,3.29,2024,SERPAVI
"Roda, La",3.44,2024,SERPAVI
Tarazona de la Mancha,2.68,2024,SERPAVI
Tobarra,2.72,2024,SERPAVI
Valdeganga,3.4,2024,SERPAVI
Villalgordo del Júcar,2.33,2024,SERPAVI
Villamalea,3.29,2024,SERPAVI
Villarrobledo,3.4,2024,SERPAVI
Yeste,2.55,2024,SERPAVI
Pozo Cañada,3.53,2024,SERPAVI
Adsubia,3.14,2024,SERPAVI
Agost,3.38,2024,SERPAVI
Aigües,5.36,2024,SERPAVI
Albatera,3.54,2024,SERPAVI
Alcalalí,5.01,2024,SERPAVI
Alcoy/Alcoi,4.49,2024,SERPAVI
"Alfàs del Pi, l'",7.88,2024,SERPAVI
Algorfa,6.67,2024,SERPAVI
Algueña,2.25,2024,SERPAVI
Alicante/Alacant,7.11,2024,SERPAVI
Almoradí,4.34,2024,SERPAVI
"Alqueria d'Asnar, l'",3.08,2024,SERPAVI
Altea,7.06,2024,SERPAVI
Aspe,4.16,2024,SERPAVI
Banyeres de Mariola,3.23,2024,SERPAVI
Beneixama,3.18,2024,SERPAVI
Benejúzar,4.02,2024,SERPAVI
Benferri,5.16,2024,SERPAVI
Beniarbeig,6.22,2024,SERPAVI
Benigembla,3.32,2024,SERPAVI
Benidoleig,4.97,2024,SERPAVI
Benidorm,8.45,2024,SERPAVI
Benijófar,5.23,2024,SERPAVI
Benimantell,6.34,2024,SERPAVI
Benimeli,5.77,2024,SERPAVI
Benissa,4.47,2024,SERPAVI
"Benitachell/Poble Nou de Benitatxell, el",5.26,2024,SERPAVI
Biar,3.75,2024,SERPAVI
Bigastro,3.54,2024,SERPAVI
Busot,5.95,2024,SERPAVI
Calp,7.24,2024,SERPAVI
Callosa d'En Sarrià,3.89,2024,SERPAVI
Callosa de Segura,3.22,2024,SERPAVI
"Campello, el",8.57,2024,SERPAVI
Cañada,2.34,2024,SERPAVI
Castalla,3.94,2024,SERPAVI
Catral,4.25,2024,SERPAVI
Cocentaina,3.39,2024,SERPAVI
Cox,3.5,2024,SERPAVI
Crevillent,3.9,2024,SERPAVI
Daya Nueva,5.57,2024,SERPAVI
Daya Vieja,7.35,2024,SERPAVI
Dénia,6.65,2024,SERPAVI
Dolores,4.03,2024,SERPAVI
Elche/Elx,5.45,2024,SERPAVI
Elda,4.5,2024,SERPAVI
Finestrat,8.01,2024,SERPAVI
Formentera del Segura,6.51,2024,SERPAVI
Gata de Gorgos,3.88,2024,SERPAVI
Granja de Rocamora,4.76,2024,SERPAVI
"Castell de Guadalest, el",4.79,2024,SERPAVI
Guardamar del Segura,6.85,2024,SERPAVI
"Fondó de les Neus, el/Hondón de las Nieves",4.08,2024,SERPAVI
Hondón de los Frailes,4.19,2024,SERPAVI
Ibi,4.02,2024,SERPAVI
Jacarilla,4.79,2024,SERPAVI
Xaló,4.59,2024,SERPAVI
Jávea/Xàbia,7.14,2024,SERPAVI
Jijona/Xixona,3.62,2024,SERPAVI
Llíber,5.09,2024,SERPAVI
Monforte del Cid,4.01,2024,SERPAVI
Monóvar/Monòver,3.33,2024,SERPAVI
Mutxamel,6.35,2024,SERPAVI
Murla,3.25,2024,SERPAVI
Muro de Alcoy,3.4,2024,SERPAVI
Novelda,3.92,2024,SERPAVI
"Nucia, la",5.53,2024,SERPAVI
Ondara,4.85,2024,SERPAVI
Onil,3.78,2024,SERPAVI
Orba,4.16,2024,SERPAVI
Orxeta,4.69,2024,SERPAVI
Orihuela,4.89,2024,SERPAVI
Parcent,2.52,2024,SERPAVI
Pedreguer,4.73,2024,SERPAVI
Pego,4.25,2024,SERPAVI
Petrer,4.43,2024,SERPAVI
"Pinós, el/Pinoso",3.76,2024,SERPAVI
Polop,5.03,2024,SERPAVI
Rafal,3.72,2024,SERPAVI
"Ràfol d'Almúnia, El",2.06,2024,SERPAVI
Redován,3.47,2024,SERPAVI
Relleu,3.07,2024,SERPAVI
Rojales,5.89,2024,SERPAVI
"Romana, la",2.99,2024,SERPAVI
Salinas,3.26,2024,SERPAVI
Sanet y Negrals,5.03,2024,SERPAVI
San Fulgencio,4.01,2024,SERPAVI
Sant Joan d'Alacant,6.36,2024,SERPAVI
San Miguel de Salinas,4.49,2024,SERPAVI
Santa Pola,6.82,2024,SERPAVI
San Vicente del Raspeig/Sant Vicent del Raspeig,6.44,2024,SERPAVI
Sax,3.92,2024,SERPAVI
Sella,3.41,2024,SERPAVI
Senija,2.73,2024,SERPAVI
Tàrbena,2.99,2020,SERPAVI
Teulada,6.41,2024,SERPAVI
Tibi,4.83,2024,SERPAVI
"Torremanzanas/Torre de les Maçanes, la",2.65,2024,SERPAVI
Torrevieja,6.6,2024,SERPAVI
Vall de Gallinera,2.06,2024,SERPAVI
"Vall de Laguar, la",3.12,2024,SERPAVI
"Verger, el",5.44,2024,SERPAVI
"Villajoyosa/Vila Joiosa, la",6.68,2024,SERPAVI
Villena,3.87,2024,SERPAVI
"Poblets, els",6.65,2024,SERPAVI
Pilar de la Horadada,5.34,2024,SERPAVI
"Montesinos, Los",4.67,2024,SERPAVI
San Isidro,5.0,2024,SERPAVI
Abla,2.61,2024,SERPAVI
Adra,4.15,2024,SERPAVI
Albox,3.59,2024,SERPAVI
Alhama de Almería,3.77,2024,SERPAVI
Almería,6.77,2024,SERPAVI
Antas,3.51,2024,SERPAVI
Arboleas,4.13,2024,SERPAVI
Bédar,3.04,2024,SERPAVI
Benahadux,4.82,2024,SERPAVI
Berja,4.07,2024,SERPAVI
Cantoria,4.58,2024,SERPAVI
Carboneras,5.25,2024,SERPAVI
Cuevas del Almanzora,4.55,2024,SERPAVI
Chirivel,2.34,2024,SERPAVI
Dalías,4.23,2024,SERPAVI
Enix,5.53,2021,SERPAVI
Fines,3.68,2024,SERPAVI
Fiñana,2.87,2022,SERPAVI
Fondón,4.02,2024,SERPAVI
Gádor,3.76,2024,SERPAVI
"Gallardos, Los",3.69,2024,SERPAVI
Garrucha,5.29,2024,SERPAVI
Huércal de Almería,6.33,2024,SERPAVI
Huércal-Overa,4.17,2024,SERPAVI
Láujar de Andarax,3.09,2022,SERPAVI
Macael,3.43,2024,SERPAVI
Mojácar,7.33,2024,SERPAVI
Níjar,4.14,2024,SERPAVI
Olula del Río,3.78,2024,SERPAVI
Partaloa,4.95,2024,SERPAVI
Pechina,5.03,2024,SERPAVI
Pulpí,4.25,2024,SERPAVI
Roquetas de Mar,6.06,2024,SERPAVI
Sorbas,3.03,2024,SERPAVI
Tabernas,3.6,2024,SERPAVI
Tíjola,3.21,2024,SERPAVI
Turre,5.08,2024,SERPAVI
Vélez-Blanco,1.25,2024,SERPAVI
