municipality,eur_m2,period,source
Aast,9.74,2025,Carte des loyers
Abainville,7.44,2025,Carte des loyers
Abancourt,8.24,2025,Carte des loyers
Abaucourt,8.86,2025,Carte des loyers
Abaucourt-Hautecourt,9.43,2025,Carte des loyers
Abbans-Dessous,9.22,2025,Carte des loyers
Abbans-Dessus,9.22,2025,Carte des loyers
Abbaretz,8.81,2025,Carte des loyers
Abbecourt,12.04,2025,Carte des loyers
Abbenans,8.64,2025,Carte des loyers
Abbeville,8.83,2025,Carte des loyers
Abbeville-Saint-Lucien,9.95,2025,Carte des loyers
Abbécourt,7.84,2025,Carte des loyers
Abbéville-la-Rivière,10.73,2025,Carte des loyers
Abbéville-lès-Conflans,9.43,2025,Carte des loyers
Abbévillers,10.38,2025,Carte des loyers
Abeilhan,9.57,2025,Carte des loyers
Abelcourt,8.45,2025,Carte des loyers
Abergement-la-Ronce,9.72,2025,Carte des loyers
Abergement-le-Grand,11.06,2025,Carte des loyers
Abergement-le-Petit,11.06,2025,Carte des loyers
Abergement-lès-Thésy,8.72,2025,Carte des loyers
Abidos,9.91,2025,Carte des loyers
Abilly,6.27,2025,Carte des loyers
Abitain,9.12,2025,Carte des loyers
Abjat-sur-Bandiat,7.54,2025,Carte des loyers
Ablain-Saint-Nazaire,9.25,2025,Carte des loyers
Ablaincourt-Pressoir,8.14,2025,Carte des loyers
Ablainzevelle,7.64,2025,Carte des loyers
Ablancourt,8.46,2025,Carte des loyers
Ableiges,13.71,2025,Carte des loyers
Ablis,10.59,2025,Carte des loyers
Ablon,10.58,2025,Carte des loyers
Ablon-sur-Seine,16.23,2025,Carte des loyers
Aboncourt,6.84,2025,Carte des loyers
Aboncourt-Gesincourt,7.39,2025,Carte des loyers
Aboncourt-sur-Seille,8.52,2025,Carte des loyers
Abondance,14.46,2025,Carte des loyers
Abondant,11.95,2025,Carte des loyers
Abos,10.54,2025,Carte des loyers
Aboën,8.84,2025,Carte des loyers
Abreschviller,8.93,2025,Carte des loyers
Abrest,8.87,2025,Carte des loyers
Abriès-Ristolas,9.51,2025,Carte des loyers
Abscon,8.37,2025,Carte des loyers
Abzac,9.49,2025,Carte des loyers
Abère,9.27,2025,Carte des loyers
Accolans,7.6,2025,Carte des loyers
Accons,6.79,2025,Carte des loyers
Accous,8.92,2025,Carte des loyers
Achain,7.65,2025,Carte des loyers
Achen,7.28,2025,Carte des loyers
