municipality,eur_m2,period,source
Abrantes,975,1.º Trimestre de 2026,INE
Aguiar da Beira,474,1.º Trimestre de 2026,INE
Alandroal,771,1.º Trimestre de 2026,INE
Albergaria-a-Velha,1357,1.º Trimestre de 2026,INE
Albufeira,3354,1.º Trimestre de 2026,INE
Alcanena,779,1.º Trimestre de 2026,INE
Alcobaça,1808,1.º Trimestre de 2026,INE
Alcochete,2883,1.º Trimestre de 2026,INE
Alcoutim,917,1.º Trimestre de 2026,INE
Alcácer do Sal,1932,1.º Trimestre de 2026,INE
Alenquer,1928,1.º Trimestre de 2026,INE
Alfândega da Fé,419,1.º Trimestre de 2026,INE
Alijó,472,1.º Trimestre de 2026,INE
Aljezur,3240,1.º Trimestre de 2026,INE
Aljustrel,890,1.º Trimestre de 2026,INE
Almada,3267,1.º Trimestre de 2026,INE
Almeida,342,1.º Trimestre de 2026,INE
Almeirim,1522,1.º Trimestre de 2026,INE
Almodôvar,979,1.º Trimestre de 2026,INE
Alpiarça,1291,1.º Trimestre de 2026,INE
Alter do Chão,461,1.º Trimestre de 2026,INE
Alvaiázere,651,1.º Trimestre de 2026,INE
Alvito,970,1.º Trimestre de 2026,INE
Amadora,3143,1.º Trimestre de 2026,INE
Amarante,1192,1.º Trimestre de 2026,INE
Amares,1566,1.º Trimestre de 2026,INE
Anadia,941,1.º Trimestre de 2026,INE
Angra do Heroísmo,1316,1.º Trimestre de 2026,INE
Ansião,727,1.º Trimestre de 2026,INE
Arcos de Valdevez,914,1.º Trimestre de 2026,INE
Arganil,685,1.º Trimestre de 2026,INE
Armamar,403,1.º Trimestre de 2026,INE
Arouca,1012,1.º Trimestre de 2026,INE
Arraiolos,1286,1.º Trimestre de 2026,INE
Arronches,842,1.º Trimestre de 2026,INE
Arruda dos Vinhos,2161,1.º Trimestre de 2026,INE
Aveiro,2329,1.º Trimestre de 2026,INE
Avis,767,1.º Trimestre de 2026,INE
Azambuja,1902,1.º Trimestre de 2026,INE
Baião,841,1.º Trimestre de 2026,INE
Barcelos,1678,1.º Trimestre de 2026,INE
Barreiro,2705,1.º Trimestre de 2026,INE
Batalha,1387,1.º Trimestre de 2026,INE
Beja,1252,1.º Trimestre de 2026,INE
Belmonte,500,1.º Trimestre de 2026,INE
Benavente,2063,1.º Trimestre de 2026,INE
Bombarral,1582,1.º Trimestre de 2026,INE
Borba,924,1.º Trimestre de 2026,INE
Boticas,532,1.º Trimestre de 2026,INE
Braga,2100,1.º Trimestre de 2026,INE
Bragança,1157,1.º Trimestre de 2026,INE
Cabeceiras de Basto,893,1.º Trimestre de 2026,INE
Cadaval,1432,1.º Trimestre de 2026,INE
Caldas da Rainha,2092,1.º Trimestre de 2026,INE
Calheta (R.A.A.),697,1.º Trimestre de 2026,INE
Calheta (R.A.M.),1722,1.º Trimestre de 2026,INE
Caminha,1646,1.º Trimestre de 2026,INE
Campo Maior,697,1.º Trimestre de 2026,INE
Cantanhede,1100,1.º Trimestre de 2026,INE
Carrazeda de Ansiães,352,1.º Trimestre de 2026,INE
Carregal do Sal,697,1.º Trimestre de 2026,INE
Cartaxo,1553,1.º Trimestre de 2026,INE
Cascais,4687,1.º Trimestre de 2026,INE
Castanheira de Pêra,609,1.º Trimestre de 2026,INE
Castelo Branco,1026,1.º Trimestre de 2026,INE
Castelo de Paiva,952,1.º Trimestre de 2026,INE
Castelo de Vide,705,1.º Trimestre de 2026,INE
Castro Daire,652,1.º Trimestre de 2026,INE
Castro Marim,2542,1.º Trimestre de 2026,INE
Castro Verde,1095,1.º Trimestre de 2026,INE
Celorico da Beira,497,1.º Trimestre de 2026,INE
Celorico de Basto,886,1.º Trimestre de 2026,INE
Chamusca,909,1.º Trimestre de 2026,INE
Chaves,1184,1.º Trimestre de 2026,INE
Cinfães,509,1.º Trimestre de 2026,INE
Coimbra,2210,1.º Trimestre de 2026,INE
Condeixa-a-Nova,1622,1.º Trimestre de 2026,INE
Constância,1032,1.º Trimestre de 2026,INE
Coruche,1383,1.º Trimestre de 2026,INE
Covilhã,1116,1.º Trimestre de 2026,INE
Crato,508,1.º Trimestre de 2026,INE
Cuba,692,1.º Trimestre de 2026,INE
Câmara de Lobos,2500,1.º Trimestre de 2026,INE
Elvas,938,1.º Trimestre de 2026,INE
Entroncamento,1646,1.º Trimestre de 2026,INE
Espinho,2776,1.º Trimestre de 2026,INE
Esposende,2152,1.º Trimestre de 2026,INE
Estarreja,1248,1.º Trimestre de 2026,INE
Estremoz,843,1.º Trimestre de 2026,INE
Fafe,1303,1.º Trimestre de 2026,INE
Faro,3125,1.º Trimestre de 2026,INE
Felgueiras,1201,1.º Trimestre de 2026,INE
Ferreira do Alentejo,841,1.º Trimestre de 2026,INE
Ferreira do Zêzere,883,1.º Trimestre de 2026,INE
Figueira da Foz,1789,1.º Trimestre de 2026,INE
Figueira de Castelo Rodrigo,332,1.º Trimestre de 2026,INE
Figueiró dos Vinhos,555,1.º Trimestre de 2026,INE
Fornos de Algodres,502,1.º Trimestre de 2026,INE
Freixo de Espada à Cinta,280,1.º Trimestre de 2026,INE
Fronteira,596,1.º Trimestre de 2026,INE
Funchal,3322,1.º Trimestre de 2026,INE
Fundão,803,1.º Trimestre de 2026,INE
Gavião,529,1.º Trimestre de 2026,INE
Golegã,1263,1.º Trimestre de 2026,INE
Gondomar,2227,1.º Trimestre de 2026,INE
Gouveia,525,1.º Trimestre de 2026,INE
Grândola,2533,1.º Trimestre de 2026,INE
Guarda,955,1.º Trimestre de 2026,INE
Guimarães,1733,1.º Trimestre de 2026,INE
Góis,756,1.º Trimestre de 2026,INE
Horta,1359,1.º Trimestre de 2026,INE
Idanha-a-Nova,412,1.º Trimestre de 2026,INE
Lagoa,3220,1.º Trimestre de 2026,INE
Lagoa (R.A.A.),1761,1.º Trimestre de 2026,INE
Lagos,3855,1.º Trimestre de 2026,INE
Lajes do Pico,1138,1.º Trimestre de 2026,INE
Lamego,973,1.º Trimestre de 2026,INE
Leiria,1922,1.º Trimestre de 2026,INE
Lisboa,5082,1.º Trimestre de 2026,INE
Loulé,4091,1.º Trimestre de 2026,INE
Loures,3191,1.º Trimestre de 2026,INE
Lourinhã,2030,1.º Trimestre de 2026,INE
Lousada,1348,1.º Trimestre de 2026,INE
Lousã,1411,1.º Trimestre de 2026,INE
Macedo de Cavaleiros,799,1.º Trimestre de 2026,INE
Machico,2027,1.º Trimestre de 2026,INE
Madalena,1118,1.º Trimestre de 2026,INE
Mafra,2942,1.º Trimestre de 2026,INE
Maia,2462,1.º Trimestre de 2026,INE
Mangualde,806,1.º Trimestre de 2026,INE
Manteigas,424,1.º Trimestre de 2026,INE
Marco de Canaveses,1366,1.º Trimestre de 2026,INE
Marinha Grande,1462,1.º Trimestre de 2026,INE
Marvão,654,1.º Trimestre de 2026,INE
Matosinhos,3058,1.º Trimestre de 2026,INE
Mação,372,1.º Trimestre de 2026,INE
Mealhada,1132,1.º Trimestre de 2026,INE
Melgaço,734,1.º Trimestre de 2026,INE
Mesão Frio,657,1.º Trimestre de 2026,INE
Mira,1515,1.º Trimestre de 2026,INE
Miranda do Corvo,903,1.º Trimestre de 2026,INE
Miranda do Douro,477,1.º Trimestre de 2026,INE
Mirandela,1042,1.º Trimestre de 2026,INE
Mogadouro,356,1.º Trimestre de 2026,INE
Moimenta da Beira,571,1.º Trimestre de 2026,INE
Moita,2371,1.º Trimestre de 2026,INE
Monchique,1637,1.º Trimestre de 2026,INE
Mondim de Basto,980,1.º Trimestre de 2026,INE
Monforte,544,1.º Trimestre de 2026,INE
Montalegre,800,1.º Trimestre de 2026,INE
Montemor-o-Novo,1436,1.º Trimestre de 2026,INE
Montemor-o-Velho,1142,1.º Trimestre de 2026,INE
Montijo,2608,1.º Trimestre de 2026,INE
Monção,1197,1.º Trimestre de 2026,INE
Mora,1041,1.º Trimestre de 2026,INE
Mortágua,738,1.º Trimestre de 2026,INE
Moura,792,1.º Trimestre de 2026,INE
Mourão,755,1.º Trimestre de 2026,INE
Murtosa,1406,1.º Trimestre de 2026,INE
Murça,529,1.º Trimestre de 2026,INE
Mértola,723,1.º Trimestre de 2026,INE
Mêda,411,1.º Trimestre de 2026,INE
Nazaré,2424,1.º Trimestre de 2026,INE
Nelas,787,1.º Trimestre de 2026,INE
Nisa,500,1.º Trimestre de 2026,INE
Nordeste,1164,1.º Trimestre de 2026,INE
Odemira,1799,1.º Trimestre de 2026,INE
Odivelas,3462,1.º Trimestre de 2026,INE
Oeiras,4297,1.º Trimestre de 2026,INE
Oleiros,556,1.º Trimestre de 2026,INE
Olhão,2725,1.º Trimestre de 2026,INE
Oliveira de Azeméis,1412,1.º Trimestre de 2026,INE
Oliveira de Frades,968,1.º Trimestre de 2026,INE
Oliveira do Bairro,1358,1.º Trimestre de 2026,INE
Oliveira do Hospital,746,1.º Trimestre de 2026,INE
Ourique,846,1.º Trimestre de 2026,INE
Ourém,1348,1.º Trimestre de 2026,INE
Ovar,1836,1.º Trimestre de 2026,INE
Palmela,2375,1.º Trimestre de 2026,INE
Pampilhosa da Serra,465,1.º Trimestre de 2026,INE
Paredes,1643,1.º Trimestre de 2026,INE
Paredes de Coura,777,1.º Trimestre de 2026,INE
Paços de Ferreira,1472,1.º Trimestre de 2026,INE
Pedrógão Grande,576,1.º Trimestre de 2026,INE
Penacova,595,1.º Trimestre de 2026,INE
Penafiel,1455,1.º Trimestre de 2026,INE
Penalva do Castelo,429,1.º Trimestre de 2026,INE
Penamacor,395,1.º Trimestre de 2026,INE
Penedono,441,1.º Trimestre de 2026,INE
Penela,744,1.º Trimestre de 2026,INE
Peniche,2219,1.º Trimestre de 2026,INE
Peso da Régua,1119,1.º Trimestre de 2026,INE
Pinhel,429,1.º Trimestre de 2026,INE
Pombal,1230,1.º Trimestre de 2026,INE
Ponta Delgada,2017,1.º Trimestre de 2026,INE
Ponta do Sol,1718,1.º Trimestre de 2026,INE
Ponte da Barca,1239,1.º Trimestre de 2026,INE
Ponte de Lima,1450,1.º Trimestre de 2026,INE
Ponte de Sor,960,1.º Trimestre de 2026,INE
Portalegre,1088,1.º Trimestre de 2026,INE
Portel,815,1.º Trimestre de 2026,INE
Portimão,3125,1.º Trimestre de 2026,INE
Porto,3510,1.º Trimestre de 2026,INE
Porto Moniz,1490,1.º Trimestre de 2026,INE
Porto Santo,2484,1.º Trimestre de 2026,INE
Porto de Mós,1233,1.º Trimestre de 2026,INE
Povoação,1426,1.º Trimestre de 2026,INE
Proença-a-Nova,584,1.º Trimestre de 2026,INE
Póvoa de Lanhoso,1339,1.º Trimestre de 2026,INE
Póvoa de Varzim,2345,1.º Trimestre de 2026,INE
Redondo,920,1.º Trimestre de 2026,INE
Reguengos de Monsaraz,1100,1.º Trimestre de 2026,INE
Resende,637,1.º Trimestre de 2026,INE
Ribeira Brava,1508,1.º Trimestre de 2026,INE
Ribeira Grande,1565,1.º Trimestre de 2026,INE
Ribeira de Pena,357,1.º Trimestre de 2026,INE
Rio Maior,1278,1.º Trimestre de 2026,INE
Sabrosa,757,1.º Trimestre de 2026,INE
Sabugal,427,1.º Trimestre de 2026,INE
Salvaterra de Magos,1787,1.º Trimestre de 2026,INE
Santa Comba Dão,767,1.º Trimestre de 2026,INE
Santa Cruz,2617,1.º Trimestre de 2026,INE
Santa Cruz da Graciosa,560,1.º Trimestre de 2026,INE
Santa Maria da Feira,1700,1.º Trimestre de 2026,INE
Santa Marta de Penaguião,500,1.º Trimestre de 2026,INE
Santana,1605,1.º Trimestre de 2026,INE
Santarém,1495,1.º Trimestre de 2026,INE
Santiago do Cacém,2019,1.º Trimestre de 2026,INE
Santo Tirso,1700,1.º Trimestre de 2026,INE
Sardoal,675,1.º Trimestre de 2026,INE
Seia,708,1.º Trimestre de 2026,INE
Seixal,2800,1.º Trimestre de 2026,INE
Sernancelhe,297,1.º Trimestre de 2026,INE
Serpa,662,1.º Trimestre de 2026,INE
Sertã,915,1.º Trimestre de 2026,INE
Sesimbra,2909,1.º Trimestre de 2026,INE
Setúbal,2638,1.º Trimestre de 2026,INE
Sever do Vouga,786,1.º Trimestre de 2026,INE
Silves,2815,1.º Trimestre de 2026,INE
Sines,2473,1.º Trimestre de 2026,INE
Sintra,2908,1.º Trimestre de 2026,INE
Sobral de Monte Agraço,1865,1.º Trimestre de 2026,INE
Soure,884,1.º Trimestre de 2026,INE
Sousel,668,1.º Trimestre de 2026,INE
Sátão,715,1.º Trimestre de 2026,INE
São Brás de Alportel,2381,1.º Trimestre de 2026,INE
São João da Madeira,1836,1.º Trimestre de 2026,INE
São João da Pesqueira,446,1.º Trimestre de 2026,INE
São Pedro do Sul,970,1.º Trimestre de 2026,INE
