municipality,parish,eur_m2,period,source
Albufeira,Albufeira e Olhos de Água,3389,1.º Trimestre de 2026,INE
Albufeira,Ferreiras,2671,1.º Trimestre de 2026,INE
Albufeira,Guia,3509,1.º Trimestre de 2026,INE
Albufeira,Paderne,2028,1.º Trimestre de 2026,INE
Alcochete,Alcochete,2965,1.º Trimestre de 2026,INE
Alcochete,Samouco,2536,1.º Trimestre de 2026,INE
Alcochete,São Francisco,2801,1.º Trimestre de 2026,INE
Alcoutim,União das freguesias de Alcoutim e Pereiro,994,1.º Trimestre de 2026,INE
Aljezur,Aljezur,3505,1.º Trimestre de 2026,INE
Almada,Costa da Caparica,4426,1.º Trimestre de 2026,INE
Almada,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",3240,1.º Trimestre de 2026,INE
Almada,União das freguesias de Caparica e Trafaria,3230,1.º Trimestre de 2026,INE
Almada,União das freguesias de Charneca de Caparica e Sobreda,3248,1.º Trimestre de 2026,INE
Almada,União das freguesias de Laranjeiro e Feijó,3017,1.º Trimestre de 2026,INE
Amadora,Alfragide,3248,1.º Trimestre de 2026,INE
Amadora,Encosta do Sol,3032,1.º Trimestre de 2026,INE
Amadora,Falagueira-Venda Nova,3096,1.º Trimestre de 2026,INE
Amadora,Mina de Água,3097,1.º Trimestre de 2026,INE
Amadora,Venteira,3078,1.º Trimestre de 2026,INE
Amadora,Águas Livres,3234,1.º Trimestre de 2026,INE
Arouca,União das freguesias de Arouca e Burgo,1385,1.º Trimestre de 2026,INE
Barcelos,Arcozelo,1826,1.º Trimestre de 2026,INE
Barcelos,Barcelinhos,2266,1.º Trimestre de 2026,INE
Barcelos,Galegos (São Martinho),1704,1.º Trimestre de 2026,INE
Barcelos,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",2132,1.º Trimestre de 2026,INE
Barcelos,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",1475,1.º Trimestre de 2026,INE
Barreiro,Santo António da Charneca,2434,1.º Trimestre de 2026,INE
Barreiro,"União das freguesias de Alto do Seixalinho, Santo André e Verderena",2801,1.º Trimestre de 2026,INE
Barreiro,União das freguesias de Barreiro e Lavradio,2731,1.º Trimestre de 2026,INE
Barreiro,União das freguesias de Palhais e Coina,2074,1.º Trimestre de 2026,INE
Braga,Braga (São Vicente),2226,1.º Trimestre de 2026,INE
Braga,Braga (São Vítor),2168,1.º Trimestre de 2026,INE
Braga,Gualtar,2297,1.º Trimestre de 2026,INE
Braga,Palmeira,1813,1.º Trimestre de 2026,INE
Braga,"União das freguesias de Braga (Maximinos, Sé e Cividade)",2167,1.º Trimestre de 2026,INE
Braga,União das freguesias de Braga (São José de São Lázaro e São João do Souto),2049,1.º Trimestre de 2026,INE
Braga,"União das freguesias de Celeirós, Aveleda e Vimieiro",1785,1.º Trimestre de 2026,INE
Braga,União das freguesias de Este (São Pedro e São Mamede),2458,1.º Trimestre de 2026,INE
