municipality,eur_m2,period,source
Abrantes,5.26,2.º Semestre de 2024,INE
Albergaria-a-Velha,5.55,2.º Semestre de 2024,INE
Albufeira,10.31,2.º Semestre de 2024,INE
Alcanena,4.6,2.º Semestre de 2024,INE
Alcobaça,6.2,2.º Semestre de 2024,INE
Alcochete,9.24,2.º Semestre de 2024,INE
Alcácer do Sal,7.26,2.º Semestre de 2024,INE
Alenquer,7.82,2.º Semestre de 2024,INE
Aljezur,7.56,2.º Semestre de 2024,INE
Aljustrel,5.56,2.º Semestre de 2024,INE
Almada,11.76,2.º Semestre de 2024,INE
Almeirim,5.86,2.º Semestre de 2024,INE
Almodôvar,4.88,2.º Semestre de 2024,INE
Amadora,11.8,2.º Semestre de 2024,INE
Amarante,4.17,2.º Semestre de 2024,INE
Amares,4.47,2.º Semestre de 2024,INE
Anadia,5.22,2.º Semestre de 2024,INE
Angra do Heroísmo,4.95,2.º Semestre de 2024,INE
Ansião,3.65,2.º Semestre de 2024,INE
Arcos de Valdevez,4.64,2.º Semestre de 2024,INE
Arganil,4.66,2.º Semestre de 2024,INE
Arouca,5.03,2.º Semestre de 2024,INE
Arraiolos,4.2,2.º Semestre de 2024,INE
Arruda dos Vinhos,6.75,2.º Semestre de 2024,INE
Aveiro,8.18,2.º Semestre de 2024,INE
Azambuja,6.24,2.º Semestre de 2024,INE
Baião,3.43,2.º Semestre de 2024,INE
Barcelos,5.42,2.º Semestre de 2024,INE
Barreiro,10.04,2.º Semestre de 2024,INE
Batalha,6.05,2.º Semestre de 2024,INE
Beja,6.15,2.º Semestre de 2024,INE
Belmonte,3.22,2.º Semestre de 2024,INE
Benavente,7.1,2.º Semestre de 2024,INE
Bombarral,5.8,2.º Semestre de 2024,INE
Borba,3.11,2.º Semestre de 2024,INE
Braga,7.69,2.º Semestre de 2024,INE
Bragança,3.23,2.º Semestre de 2024,INE
Cabeceiras de Basto,4.23,2.º Semestre de 2024,INE
Cadaval,4.9,2.º Semestre de 2024,INE
Caldas da Rainha,7.04,2.º Semestre de 2024,INE
Calheta (R.A.M.),5.59,2.º Semestre de 2024,INE
Caminha,5.83,2.º Semestre de 2024,INE
Campo Maior,2.97,2.º Semestre de 2024,INE
Cantanhede,4.76,2.º Semestre de 2024,INE
Carregal do Sal,3.79,2.º Semestre de 2024,INE
Cartaxo,5.16,2.º Semestre de 2024,INE
Cascais,15.31,2.º Semestre de 2024,INE
Castelo Branco,4.54,2.º Semestre de 2024,INE
Castelo de Paiva,3.51,2.º Semestre de 2024,INE
Castro Daire,3.4,2.º Semestre de 2024,INE
Castro Marim,7.51,2.º Semestre de 2024,INE
Celorico de Basto,3.58,2.º Semestre de 2024,INE
Chamusca,3.74,2.º Semestre de 2024,INE
Chaves,4.84,2.º Semestre de 2024,INE
Cinfães,3.72,2.º Semestre de 2024,INE
Coimbra,7.76,2.º Semestre de 2024,INE
Condeixa-a-Nova,5.51,2.º Semestre de 2024,INE
Coruche,5.57,2.º Semestre de 2024,INE
Covilhã,5.0,2.º Semestre de 2024,INE
Câmara de Lobos,6.78,2.º Semestre de 2024,INE
Elvas,4.78,2.º Semestre de 2024,INE
Entroncamento,6.79,2.º Semestre de 2024,INE
Espinho,8.04,2.º Semestre de 2024,INE
Esposende,7.37,2.º Semestre de 2024,INE
Estarreja,5.66,2.º Semestre de 2024,INE
Estremoz,4.25,2.º Semestre de 2024,INE
Fafe,4.12,2.º Semestre de 2024,INE
Faro,8.33,2.º Semestre de 2024,INE
Felgueiras,3.45,2.º Semestre de 2024,INE
Ferreira do Alentejo,4.29,2.º Semestre de 2024,INE
Ferreira do Zêzere,4.37,2.º Semestre de 2024,INE
Figueira da Foz,7.14,2.º Semestre de 2024,INE
Funchal,11.51,2.º Semestre de 2024,INE
Fundão,4.5,2.º Semestre de 2024,INE
Golegã,4.74,2.º Semestre de 2024,INE
Gondomar,7.56,2.º Semestre de 2024,INE
Gouveia,2.99,2.º Semestre de 2024,INE
Grândola,9.11,2.º Semestre de 2024,INE
Guarda,4.17,2.º Semestre de 2024,INE
Guimarães,5.75,2.º Semestre de 2024,INE
Horta,4.15,2.º Semestre de 2024,INE
Lagoa,8.75,2.º Semestre de 2024,INE
Lagoa (R.A.A.),4.62,2.º Semestre de 2024,INE
Lagos,10.11,2.º Semestre de 2024,INE
Lamego,3.77,2.º Semestre de 2024,INE
Leiria,6.42,2.º Semestre de 2024,INE
Lisboa,15.93,2.º Semestre de 2024,INE
Loulé,10.81,2.º Semestre de 2024,INE
Loures,10.56,2.º Semestre de 2024,INE
Lourinhã,6.21,2.º Semestre de 2024,INE
Lousada,4.24,2.º Semestre de 2024,INE
Lousã,4.78,2.º Semestre de 2024,INE
Macedo de Cavaleiros,3.07,2.º Semestre de 2024,INE
Machico,5.98,2.º Semestre de 2024,INE
Madalena,4.29,2.º Semestre de 2024,INE
Mafra,9.49,2.º Semestre de 2024,INE
Maia,8.57,2.º Semestre de 2024,INE
Mangualde,4.29,2.º Semestre de 2024,INE
Marco de Canaveses,4.07,2.º Semestre de 2024,INE
Marinha Grande,5.68,2.º Semestre de 2024,INE
Matosinhos,11.11,2.º Semestre de 2024,INE
Mação,3.33,2.º Semestre de 2024,INE
Mealhada,4.97,2.º Semestre de 2024,INE
Melgaço,3.29,2.º Semestre de 2024,INE
Mira,4.58,2.º Semestre de 2024,INE
Miranda do Corvo,5.22,2.º Semestre de 2024,INE
Miranda do Douro,2.97,2.º Semestre de 2024,INE
Mirandela,2.78,2.º Semestre de 2024,INE
Moimenta da Beira,3.03,2.º Semestre de 2024,INE
Moita,9.1,2.º Semestre de 2024,INE
Montemor-o-Novo,5.0,2.º Semestre de 2024,INE
Montemor-o-Velho,4.98,2.º Semestre de 2024,INE
Montijo,9.12,2.º Semestre de 2024,INE
Monção,6.58,2.º Semestre de 2024,INE
Mortágua,3.46,2.º Semestre de 2024,INE
Moura,4.0,2.º Semestre de 2024,INE
Murtosa,5.17,2.º Semestre de 2024,INE
Nazaré,7.86,2.º Semestre de 2024,INE
Nelas,3.91,2.º Semestre de 2024,INE
Odemira,6.17,2.º Semestre de 2024,INE
Odivelas,11.41,2.º Semestre de 2024,INE
Oeiras,13.8,2.º Semestre de 2024,INE
Olhão,8.09,2.º Semestre de 2024,INE
Oliveira de Azeméis,4.88,2.º Semestre de 2024,INE
Oliveira de Frades,4.2,2.º Semestre de 2024,INE
Oliveira do Bairro,5.33,2.º Semestre de 2024,INE
Oliveira do Hospital,3.81,2.º Semestre de 2024,INE
Ourém,5.7,2.º Semestre de 2024,INE
Ovar,6.19,2.º Semestre de 2024,INE
Palmela,8.3,2.º Semestre de 2024,INE
Paredes,5.19,2.º Semestre de 2024,INE
Paredes de Coura,3.84,2.º Semestre de 2024,INE
Paços de Ferreira,4.59,2.º Semestre de 2024,INE
Penacova,3.72,2.º Semestre de 2024,INE
Penafiel,4.74,2.º Semestre de 2024,INE
Peniche,6.64,2.º Semestre de 2024,INE
Peso da Régua,4.38,2.º Semestre de 2024,INE
Pombal,4.76,2.º Semestre de 2024,INE
Ponta Delgada,6.08,2.º Semestre de 2024,INE
Ponte da Barca,3.64,2.º Semestre de 2024,INE
Ponte de Lima,5.32,2.º Semestre de 2024,INE
Ponte de Sor,4.68,2.º Semestre de 2024,INE
Portalegre,3.78,2.º Semestre de 2024,INE
Portimão,10.42,2.º Semestre de 2024,INE
Porto,12.58,2.º Semestre de 2024,INE
Porto de Mós,4.22,2.º Semestre de 2024,INE
Proença-a-Nova,4.26,2.º Semestre de 2024,INE
Póvoa de Lanhoso,4.68,2.º Semestre de 2024,INE
Póvoa de Varzim,8.15,2.º Semestre de 2024,INE
Redondo,5.08,2.º Semestre de 2024,INE
Reguengos de Monsaraz,4.14,2.º Semestre de 2024,INE
Ribeira Grande,4.41,2.º Semestre de 2024,INE
Rio Maior,4.53,2.º Semestre de 2024,INE
Sabugal,3.52,2.º Semestre de 2024,INE
Salvaterra de Magos,6.13,2.º Semestre de 2024,INE
Santa Comba Dão,4.01,2.º Semestre de 2024,INE
Santa Cruz,9.02,2.º Semestre de 2024,INE
Santa Maria da Feira,5.86,2.º Semestre de 2024,INE
Santarém,6.67,2.º Semestre de 2024,INE
Santiago do Cacém,8.59,2.º Semestre de 2024,INE
Santo Tirso,5.15,2.º Semestre de 2024,INE
Seia,3.85,2.º Semestre de 2024,INE
Seixal,9.94,2.º Semestre de 2024,INE
Sertã,4.17,2.º Semestre de 2024,INE
Sesimbra,9.07,2.º Semestre de 2024,INE
Setúbal,9.65,2.º Semestre de 2024,INE
Sever do Vouga,3.85,2.º Semestre de 2024,INE
Silves,8.59,2.º Semestre de 2024,INE
Sines,11.45,2.º Semestre de 2024,INE
Sintra,10.2,2.º Semestre de 2024,INE
Sobral de Monte Agraço,5.29,2.º Semestre de 2024,INE
Soure,4.41,2.º Semestre de 2024,INE
Sátão,2.79,2.º Semestre de 2024,INE
São Brás de Alportel,6.03,2.º Semestre de 2024,INE
São João da Madeira,6.38,2.º Semestre de 2024,INE
São Pedro do Sul,5.27,2.º Semestre de 2024,INE
Tavira,9.61,2.º Semestre de 2024,INE
Tomar,6.0,2.º Semestre de 2024,INE
Tondela,5.0,2.º Semestre de 2024,INE
Torres Novas,6.0,2.º Semestre de 2024,INE
Torres Vedras,8.09,2.º Semestre de 2024,INE
Trofa,6.8,2.º Semestre de 2024,INE
Tábua,3.85,2.º Semestre de 2024,INE
Vagos,5.97,2.º Semestre de 2024,INE
Vale de Cambra,4.65,2.º Semestre de 2024,INE
Valença,4.79,2.º Semestre de 2024,INE
Valongo,7.75,2.º Semestre de 2024,INE
Valpaços,3.08,2.º Semestre de 2024,INE
Vendas Novas,5.64,2.º Semestre de 2024,INE
Viana do Castelo,6.99,2.º Semestre de 2024,INE
Vila Flor,2.5,2.º Semestre de 2024,INE
