country,kind,lat,lon,name
ES,airport,27.8144,-17.8873,Aeropuerto de El Hierro
ES,airport,27.9294,-15.3864,Aeropuerto de Gran Canaria
ES,airport,27.934,-15.3791,Base Aérea de Gando
ES,airport,28.0305,-17.2144,Aeropuerto de La Gomera
ES,airport,28.0461,-16.5742,Aeropuerto de Tenerife Sur - Reina Sofia
ES,airport,28.4473,-13.8659,Aeropuerto de Fuerteventura
ES,airport,28.4829,-16.343,Aeropuerto de Tenerife Norte - Los Rodeos
ES,airport,28.6267,-17.7552,Aeropuerto de La Palma
ES,airport,28.9456,-13.6075,Aeropuerto César Manrique Lanzarote
ES,airport,35.2801,-2.9564,Aeropuerto de Melilla
ES,airport,36.6438,-6.3487,Aeropuerto de la Base Naval de Rota
ES,airport,36.6784,-4.4958,Aeropuerto de Málaga - Costa del Sol
ES,airport,36.7441,-6.0619,Aeropuerto Internacional de Jerez La Parra
ES,airport,36.8441,-2.3698,Aeropuerto de Almería - Antonio de Torres
ES,airport,37.1684,-5.6054,Base Aérea de Morón
ES,airport,37.1869,-3.7809,Aeropuerto de Granada - Federico García Lorca
ES,airport,37.4176,-5.895,Aeropuerto internacional de Sevilla - San Pablo
ES,airport,37.8033,-1.1255,Aeropuerto Internacional de la Región de Murcia
ES,airport,37.8433,-4.8486,Aeropuerto de Córdoba
ES,airport,38.2844,-0.5605,Aeropuerto de Alicante-Elche Miguel Hernández
ES,airport,38.8588,-3.9725,Aeropuerto de Ciudad Real
ES,airport,38.8731,1.3725,Aeroport d'Eivissa - es Codolar
ES,airport,38.8912,-6.8212,Aeropuerto de Badajoz
ES,airport,38.945,-1.8799,Aeropuerto de Albacete
ES,airport,39.4882,-0.4826,Aeropuerto Internacional de Valencia
ES,airport,39.5532,2.7378,Aeroport de Palma - Son Sant Joan
ES,airport,39.863,4.2209,Aeroport de Menorca
ES,airport,40.2127,0.0717,Aeroport de Castelló-Costa Azahar
ES,airport,40.4121,-1.2285,Plataforma Aeroportuaria - Teruel
ES,airport,40.4889,-3.4476,Base Aérea de Torrejón
ES,airport,40.495,-3.5619,Aeropuerto Adolfo Suárez Madrid-Barajas
ES,airport,40.9513,-5.5017,Aeropuerto de Salamanca
ES,airport,41.1471,1.1685,Aeroport de Reus
ES,airport,41.2969,2.0827,Aeroport Barcelona - el Prat Josep Tarradellas
ES,airport,41.663,-1.0488,Aeropuerto de Zaragoza
ES,airport,41.7066,-4.8516,Aeropuerto de Valladolid
ES,airport,41.7282,0.5353,Aeroport Lleida-Alguaire
ES,airport,41.9073,2.7626,Aeroport de Girona - Costa Brava
ES,airport,42.0773,-0.3202,Aeropuerto Huesca-Pirineos
ES,airport,42.2329,-8.6285,Aeroporto de Vigo
ES,airport,42.341,1.4091,Aeroport Andorra - la Seu d'Urgell
ES,airport,42.3576,-3.619,Aeropuerto de Burgos
ES,airport,42.4608,-2.3198,Aeropuerto de Logroño-Agoncillo
ES,airport,42.5906,-5.6444,Aeropuerto de León
ES,airport,42.5923,-5.6496,Base Aerea de León
ES,airport,42.771,-1.6459,Iruñea-Noain aireportua
ES,airport,42.8831,-2.7275,Gasteizko aireportua
ES,airport,42.8977,-8.4175,Aeroporto de Santiago - Rosalía de Castro
ES,airport,43.3003,-8.3789,Aeroporto da Coruña
ES,airport,43.3017,-2.9151,Bilboko aireportua
ES,airport,43.3565,-1.7908,Donostiako aireportua
ES,airport,43.4269,-3.8205,Aeropuerto de Santander-Seve Ballesteros
ES,airport,43.5616,-6.0331,Aeropuerto de Asturias
PT,airport,32.6988,-16.7737,Aeroporto Internacional da Madeira - Cristiano Ronaldo
PT,airport,33.0736,-16.3506,Aeroporto do Porto Santo
PT,airport,36.9719,-25.1685,Aeroporto de Santa Maria
PT,airport,37.0175,-7.9706,Aeroporto Gago Coutinho
PT,airport,37.7431,-25.6982,Aeroporto João Paulo II
PT,airport,38.0773,-7.9265,Aeroporto de Beja
PT,airport,38.5204,-28.7161,Aeroporto da Horta
PT,airport,38.5538,-28.4429,Aeroporto da Ilha do Pico
PT,airport,38.7554,-27.0879,Aeroporto Internacional das Lajes
PT,airport,38.781,-9.136,Aeroporto Humberto Delgado
PT,airport,39.4556,-31.1314,Aeroporto das Flores
PT,airport,39.6713,-31.1167,Aérodromo da Ilha do Corvo
PT,airport,41.2488,-8.6782,Aeroporto Francisco Sá Carneiro
